total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
7078,177,41,-1.3423869376058988,7.6082844734191895,False,2025-10-25 19:07:50,0,0.0,0.031284552067518234,0.92930077
7107,178,29,-1.6514027855500861,3.9909753799438477,False,2025-10-25 19:07:55,0,0.0,0.027521900832653046,0.92901106
7134,179,27,-1.5502797266048773,3.7254936695098877,False,2025-10-25 19:08:00,0,0.0,0.051221612840890884,0.92874133
7174,180,40,-1.1467960268202966,7.335985422134399,False,2025-10-25 19:08:08,0,0.0,0.01567954570055008,0.92834173
7227,181,53,-1.0581550665435693,13.076950311660767,False,2025-10-25 19:08:22,0,0.0,0.027097174897789955,0.92781226
7256,182,29,-1.4232142454450956,3.815159559249878,False,2025-10-25 19:08:27,0,0.0,0.018420666456222534,0.92752255
7319,183,63,1.2318047766545746,12.612959623336792,True,2025-10-25 19:08:40,0,0.0,0.06218177452683449,0.92689318
7367,184,48,-1.1658282235949966,8.464330196380615,False,2025-10-25 19:08:50,0,0.0,0.018331769853830338,0.92641366
7393,185,26,-1.9106122448979592,3.4206607341766357,False,2025-10-25 19:08:54,0,0.0,0.0782555639743805,0.92615392
7424,186,31,1.3663446815547236,6.138885259628296,True,2025-10-25 19:09:01,0,0.0,0.23223814368247986,0.92584423
7458,187,34,-1.3236018111546684,8.917465209960938,False,2025-10-25 19:09:11,0,0.0,0.05837879329919815,0.92550457
7491,188,33,-1.2727395958626393,6.940312147140503,False,2025-10-25 19:09:19,0,0.0,0.07408599555492401,0.9251749
7523,189,32,-1.9105677273346697,9.170972108840942,False,2025-10-25 19:09:30,0,0.0,0.25360044836997986,0.92485522
7552,190,29,-1.5803980876417452,6.599379777908325,False,2025-10-25 19:09:38,0,0.0,0.0667601078748703,0.92456551
7581,191,29,-1.562625293789337,5.554908514022827,False,2025-10-25 19:09:44,0,0.0,0.08049790561199188,0.9242758
7621,192,40,-1.1510282593360555,11.203920602798462,False,2025-10-25 19:09:57,0,0.0,0.03261103853583336,0.9238762
7643,193,22,-1.7109793244056442,4.912052392959595,False,2025-10-25 19:10:03,0,0.0,0.03061387687921524,0.92365642
7684,194,41,-0.9244827488553182,12.26957631111145,False,2025-10-25 19:10:17,0,0.0,0.0239979550242424,0.92324683
7715,195,31,-1.3380023522464521,6.765981197357178,False,2025-10-25 19:10:25,0,0.0,0.02079284004867077,0.92293714
7740,196,25,-1.4538428891395814,5.475699186325073,False,2025-10-25 19:10:32,0,0.0,0.030645491555333138,0.92268739
7775,197,35,-1.2449094154478355,10.155512809753418,False,2025-10-25 19:10:43,0,0.0,0.01985764503479004,0.92233774
7804,198,29,-1.6332903748794108,6.371911525726318,False,2025-10-25 19:10:51,0,0.0,0.029219428077340126,0.92204803
7853,199,49,-1.336346848236172,15.336535930633545,False,2025-10-25 19:11:07,0,0.0,0.03012598305940628,0.92155852
7885,200,32,-1.1568129961825615,8.369104862213135,False,2025-10-25 19:11:17,0,0.0,0.04172799736261368,0.92123884
7911,201,26,1.695819401243654,4.5989251136779785,True,2025-10-25 19:11:23,0,0.0,0.03754508122801781,0.9209791
7948,202,37,-1.5229723961138801,8.355030298233032,False,2025-10-25 19:11:33,0,0.0,0.028130102902650833,0.92060947
7975,203,27,1.2941975517512077,6.6934494972229,True,2025-10-25 19:11:41,0,0.0,0.11513534933328629,0.92033974
8120,204,145,-1.2171787077859317,153.422025680542,False,2025-10-25 19:14:15,0,0.0,0.025229860097169876,0.91889119
8157,205,37,1.4233664587708938,9.606529235839844,True,2025-10-25 19:14:27,0,0.0,0.030549431219697,0.91852156
8208,206,51,-0.8732360800713466,12.33461618423462,False,2025-10-25 19:14:40,0,0.0,0.07234591245651245,0.91801207
8251,207,43,-1.3380576160586475,11.604893922805786,False,2025-10-25 19:14:53,0,0.0,0.048554740846157074,0.9175825
8279,208,28,-1.7946820136807777,5.440752029418945,False,2025-10-25 19:15:00,0,0.0,0.033848538994789124,0.91730278
8303,209,24,-1.4572339649052641,6.041436433792114,False,2025-10-25 19:15:07,0,0.0,0.03309406340122223,0.9170630200000001
8343,210,40,-0.8173842138195901,10.158745765686035,False,2025-10-25 19:15:18,0,0.0,0.0231885127723217,0.91666342
8384,211,41,-1.2676659319467045,10.844267129898071,False,2025-10-25 19:15:30,0,0.0,0.02527487464249134,0.91625383
8407,212,23,-1.4150983113354039,4.59616231918335,False,2025-10-25 19:15:36,0,0.0,0.05338625609874725,0.91602406
8474,213,67,-1.0979883028816173,24.754554986953735,False,2025-10-25 19:16:02,0,0.0,0.022013671696186066,0.91535473
8511,214,37,-1.7545001464190602,8.03100299835205,False,2025-10-25 19:16:14,0,0.0,0.041936226189136505,0.9149851
8542,215,31,-1.2713332186506374,6.920789480209351,False,2025-10-25 19:16:24,0,0.0,0.019065646454691887,0.91467541
8584,216,42,-1.2119672928052905,11.436802864074707,False,2025-10-25 19:16:39,0,0.0,0.0323873832821846,0.91425583
8611,217,27,-1.238430356941786,5.080955982208252,False,2025-10-25 19:16:45,0,0.0,0.03212874382734299,0.9139861
8715,218,104,-1.638732385319671,52.08718991279602,False,2025-10-25 19:17:38,0,0.0,0.01737913303077221,0.91294714
8743,219,28,-1.0492984528216225,6.126347780227661,False,2025-10-25 19:17:45,0,0.0,0.029823359102010727,0.91266742
8777,220,34,1.4274721773462378,7.402122735977173,True,2025-10-25 19:17:54,0,0.0,0.021069977432489395,0.91232776
8825,221,48,-1.0937678152895824,14.573816776275635,False,2025-10-25 19:18:10,0,0.0,0.019846228882670403,0.91184824
8849,222,24,-1.4429724468691885,4.449142217636108,False,2025-10-25 19:18:16,0,0.0,0.04678475856781006,0.9116084799999999
8874,223,25,-1.6827724338522994,4.974379301071167,False,2025-10-25 19:18:22,0,0.0,0.06629911065101624,0.91135873
8908,224,34,-1.2743746299962755,8.581210374832153,False,2025-10-25 19:18:32,0,0.0,0.042375221848487854,0.91101907
